;Магазин;0
Печеная фасоль;Магнит;101
Печеная фасоль;Перекресток;96
Печеная фасоль;Ашан;94
Печеная фасоль;Лента;89
Печеная фасоль;МЕТРО;133
Печеная фасоль;Дикси;91
Печеная фасоль;Азбука вкуса;145
Печеная фасоль;Billa;105
Печеная фасоль;Эдельвейс;138
Печеная фасоль;Авоська;67
Печеная фасоль;ВкусВилл;95
Печеная фасоль;Fix Price;58
Печеная фасоль;Аллея;139
Печеная фасоль;Верный;53
Печеная фасоль;Карусель;63
Мороженое;Пятерочка;89
Мороженое;Магнит;134
Мороженое;Перекресток;118
Мороженое;Ашан;82
Мороженое;Лента;62
Мороженое;МЕТРО;146
Мороженое;Дикси;70
Мороженое;Азбука вкуса;75
Мороженое;Billa;87
Мороженое;Эдельвейс;117
Мороженое;Авоська;62
Мороженое;ВкусВилл;136
Мороженое;Fix Price;66
Мороженое;Аллея;127
Мороженое;Верный;69
Мороженое;Карусель;147
Фарш;Пятерочка;88
Фарш;Магнит;69
Фарш;Перекресток;75
Фарш;Ашан;53
Фарш;Лента;58
Фарш;МЕТРО;58
Фарш;Дикси;148
Фарш;Азбука вкуса;117
Фарш;Billa;148
Фарш;Эдельвейс;62
Фарш;Авоська;149
Фарш;ВкусВилл;57
Фарш;Fix Price;144
Фарш;Аллея;136
Фарш;Верный;68
Фарш;Карусель;73
Вареники;Пятерочка;106
Вареники;Магнит;61
Вареники;Перекресток;138
Вареники;Ашан;80
Вареники;Лента;149
Вареники;МЕТРО;60
Вареники;Дикси;50
Вареники;Азбука вкуса;62
Вареники;Billa;96
Вареники;Эдельвейс;104
Вареники;Авоська;146
Вареники;ВкусВилл;134
Вареники;Fix Price;98
Вареники;Аллея;96
Вареники;Верный;91
Вареники;Карусель;69
Картофель;Пятерочка;54
Картофель;Магнит;141
Картофель;Перекресток;105
Картофель;Ашан;141
Картофель;Лента;113
Картофель;МЕТРО;149
Картофель;Дикси;81
Картофель;Азбука вкуса;116
Картофель;Billa;134
Картофель;Эдельвейс;114
Картофель;Авоська;52
Картофель;ВкусВилл;106
Картофель;Fix Price;73
Картофель;Аллея;108
Картофель;Верный;106
Картофель;Карусель;74
Батончик;Пятерочка;84
Батончик;Магнит;79
Батончик;Перекресток;130
Батончик;Ашан;137
Батончик;Лента;98
Батончик;МЕТРО;71
Батончик;Дикси;125
Батончик;Азбука вкуса;105
Батончик;Billa;83
Батончик;Эдельвейс;57
Батончик;Авоська;62
Батончик;ВкусВилл;64
Батончик;Fix Price;120
Батончик;Аллея;141
Батончик;Верный;67
Батончик;Карусель;98
